Date,temperature,ACPower,date,weekday,time
2019-03-11 09:35:00,20.858,10.02,2019-03-11,0,09:35:00
2019-03-11 09:40:00,20.874000000000002,10.07,2019-03-11,0,09:40:00
2019-03-11 09:45:00,20.848,10.03,2019-03-11,0,09:45:00
2019-03-11 09:50:00,20.79,10.05,2019-03-11,0,09:50:00
2019-03-11 09:55:00,20.716,7.18,2019-03-11,0,09:55:00
2019-03-11 10:00:00,21.026,2.01,2019-03-11,0,10:00:00
2019-03-11 10:05:00,21.216,10.21,2019-03-11,0,10:05:00
2019-03-11 10:10:00,21.253999999999998,10.39,2019-03-11,0,10:10:00
2019-03-11 10:15:00,21.22,10.15,2019-03-11,0,10:15:00
2019-03-11 10:20:00,21.142000000000003,10.17,2019-03-11,0,10:20:00
2019-03-11 10:25:00,21.497999999999998,10.29,2019-03-11,0,10:25:00
2019-03-11 10:30:00,20.928,10.24,2019-03-11,0,10:30:00
2019-03-11 10:35:00,20.906,10.17,2019-03-11,0,10:35:00
2019-03-11 10:40:00,20.866,10.03,2019-03-11,0,10:40:00
2019-03-11 10:45:00,20.881999999999998,10.13,2019-03-11,0,10:45:00
2019-03-11 10:50:00,20.808,10.06,2019-03-11,0,10:50:00
2019-03-11 10:55:00,20.766,10.26,2019-03-11,0,10:55:00
2019-03-11 11:00:00,20.674,10.24,2019-03-11,0,11:00:00
2019-03-11 11:05:00,20.69,10.19,2019-03-11,0,11:05:00
2019-03-11 11:10:00,20.724,10.12,2019-03-11,0,11:10:00
2019-03-11 11:15:00,20.728,10.23,2019-03-11,0,11:15:00
2019-03-11 11:20:00,20.6825,10.02,2019-03-11,0,11:20:00
2019-03-11 11:25:00,21.586000000000002,1.02,2019-03-11,0,11:25:00
2019-03-11 11:30:00,21.586000000000002,1.02,2019-03-11,0,11:30:00
2019-03-11 11:35:00,21.586000000000002,1.02,2019-03-11,0,11:35:00
2019-03-11 11:40:00,21.586000000000002,1.02,2019-03-11,0,11:40:00
2019-03-11 11:45:00,21.586000000000002,1.02,2019-03-11,0,11:45:00
2019-03-11 11:50:00,22.15,0.0,2019-03-11,0,11:50:00
2019-03-11 11:55:00,22.618000000000002,0.0,2019-03-11,0,11:55:00
2019-03-11 12:00:00,23.15,0.0,2019-03-11,0,12:00:00
